SiteID,YEAR,TMAX1,TMAX2,TMAX3,TMAX4,TMAX5,TMAX6,TMAX7,TMAX8,TMAX9,TMAX10,TMAX11,TMAX12,TMIN1,TMIN2,TMIN3,TMIN4,TMIN5,TMIN6,TMIN7,TMIN8,TMIN9,TMIN10,TMIN11,TMIN12,PRECIP1,PRECIP2,PRECIP3,PRECIP4,PRECIP5,PRECIP6,PRECIP7,PRECIP8,PRECIP9,PRECIP10,PRECIP11,PRECIP12,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,FROST1,FROST2,FROST3,FROST4,FROST5,FROST6,FROST7,FROST8,FROST9,FROST10,FROST11,FROST12
40001,1979,9.260802041,7.16288147,18.179327,22.13633219,25.00690071,27.46007589,30.01525761,31.40396394,26.16196594,21.88649705,18.13271484,12.44287779,-4.0005377,-5.100140817,3.244300892,8.172047933,12.65109233,14.46505229,17.74202192,17.9486525,14.79311218,6.385826652,3.242466227,-1.213470656,163.8269304,149.7544903,85.52981034,101.6918698,140.5557173,131.6414448,72.20862809,73.04736397,228.5604551,67.36676896,159.6108408,28.52517197,8.790428196,10.95982035,16.53956002,19.98653807,20.8419397,21.98106595,22.18008017,20.8339544,14.91051227,14.28016398,10.22634398,9.21616869,28,21,7,1,0,0,0,0,0,4,9,21
40001,1980,9.39945029,9.571450806,13.94760801,22.99720561,26.57279407,29.20238749,32.24761254,33.29240053,30.00441182,20.45439079,15.24159444,11.4935921,-1.868358194,-4.756457302,1.109603193,7.023605347,11.9039915,14.70119629,18.3775938,17.60479815,15.72039286,6.866802388,1.105594889,-2.17440028,109.6357239,52.40804923,153.7878029,63.57774496,104.8891847,171.9884956,78.20505112,40.62208509,61.26129872,131.979302,67.60757488,38.14206433,6.999185716,12.44842715,15.18814881,20.68911754,22.7810091,24.07664663,25.75630399,22.67676694,16.12718352,13.42516573,10.73715734,8.062190506,23,23,11,1,0,0,0,0,0,2,13,22
40001,1981,7.461648067,13.69091731,15.44891633,24.22078959,25.15145657,31.90503947,31.3580084,29.41975728,27.03357137,20.68903946,16.53590698,8.421790141,-6.646436334,-1.72561057,-0.08003796,8.224791463,10.0392966,17.95055033,18.23289716,16.73120983,12.33408203,5.679352594,2.220311483,-2.627395335,27.65517735,83.38632989,63.53134167,33.95501387,95.01378617,77.85438749,156.0846125,155.8756334,99.02242479,96.61492544,18.20647052,107.8057697,9.446286001,11.6150585,16.64738028,21.62846944,22.42484081,23.12774152,21.31200767,18.70528931,17.71356261,14.36765044,11.18903229,7.623621876,29,20,20,1,0,0,0,0,0,1,11,21
40001,1982,6.299961016,11.95640063,16.80846853,20.44530131,28.63168118,28.33415731,30.90286334,29.65389897,26.75244548,21.35086729,17.48477173,13.64814985,-5.24833059,-0.508722142,2.834196817,5.439359538,13.29407998,16.26942851,19.94475413,17.94754796,13.76205648,8.293102437,3.678713989,2.464602366,139.5665759,124.7116259,72.19269836,88.28505942,148.8786823,214.3351161,116.6524844,100.06497,46.29801542,123.1388555,65.65326756,123.8844422,8.638573386,10.71850868,15.64205048,20.9310313,23.17595047,20.5665492,20.67415444,20.49157213,18.02429585,13.52168956,9.361905194,8.07644869,28,18,8,6,0,0,0,0,0,3,11,14
40001,1983,8.560449219,10.36108769,16.19253717,19.27686564,25.75076077,29.64106852,33.33099247,33.4844191,28.15046794,21.86626488,16.99659119,9.097166787,-2.3419408,-1.703571429,3.984829613,5.883858236,11.81916937,16.17398987,19.06570809,19.46972833,13.7904185,8.156700676,1.945089722,-3.301350944,49.99953014,145.4845113,179.6297969,119.6707114,141.7810122,82.38597798,29.51341638,73.63447481,64.20061895,124.4535823,131.2676035,171.5896744,8.85249713,11.26472764,15.23092282,19.41122711,22.65579679,21.815568,25.93632299,21.27365247,17.22338812,13.10728345,9.798174163,8.192880916,22,20,5,3,0,0,0,0,0,0,12,22
40001,1984,8.373295741,14.55203291,14.69481122,19.09360555,25.52600373,30.17119649,28.88718715,29.88521236,25.50920614,24.32280293,14.91239624,16.33120019,-4.554939713,0.236408125,1.030800899,6.335180664,11.1100078,16.98720805,17.81439386,17.3779984,11.64318034,11.32040878,0.514796956,2.271197707,116.5127992,158.8943198,186.0048678,114.4996179,170.9681738,71.01415312,203.5768438,65.891238,18.96788254,98.05501515,44.5218792,69.82113907,9.039195189,12.27699618,15.63785847,18.92402011,22.14896291,24.03531523,21.4401158,20.62428601,18.44246708,13.99324928,10.60805872,8.455503505,28,14,12,0,0,0,0,0,0,0,17,10
40001,1985,6.413567131,10.8592708,19.575772,24.98698629,26.78915582,30.60722046,31.08710386,30.03518657,28.14384664,23.58426967,20.37090963,10.06468919,-5.028990912,-1.415150888,3.572580448,8.45737203,12.86080618,16.21676025,18.36815402,17.71408455,13.86794535,10.5882212,8.382698568,-3.680705606,120.1380403,135.2787129,34.24322692,18.13461497,124.5673057,83.86162135,158.9074682,181.9798949,11.9950096,78.55118087,267.0297268,33.10806137,9.095657943,12.32565511,17.57446292,22.0181228,22.87762101,23.1306013,20.54571209,19.34085602,18.49958512,12.26929455,8.722534449,8.860980911,26,18,7,1,0,0,0,0,0,0,0,24
40001,1986,10.1176559,11.96934335,18.23372409,24.15481059,26.62081102,32.146639,34.34874681,29.24249346,27.89498393,23.30838288,15.50224915,11.03519248,-3.830638467,0.181684658,2.223103972,7.3968455,12.550974,17.72999573,19.24764207,17.57723487,15.7912089,8.781292134,5.702670288,-0.780768807,36.41288942,47.59489268,74.50527591,25.20366108,72.96903157,38.60850188,104.6702383,238.0223235,21.15092435,54.60397804,84.39185503,103.4531651,9.659585214,10.38532243,17.86872994,21.70222638,21.1123673,22.70854384,24.88178727,19.01985722,15.644121,13.22785152,7.7231817,7.901942212,25,13,12,2,1,0,0,0,0,0,6,18
40001,1987,8.580104508,10.43515167,16.21929321,19.83565369,27.48194423,30.89108175,33.84969876,32.27085709,28.35075582,20.11104146,18.13994954,11.93240435,-2.708675458,-2.221492876,1.965151682,7.229019165,14.10597357,18.0613444,20.1445281,19.43568253,15.39690043,2.778548505,2.643996175,-0.55903596,158.2169044,106.8235573,106.2309725,141.018539,71.31103602,72.00525126,57.78902459,88.48461837,154.947317,56.18635333,78.05612195,87.07662341,8.681859058,11.85135364,16.4464027,19.16757448,22.33949078,22.83451233,23.48595119,18.20300539,16.06541702,15.54913497,10.15839228,7.301411219,24,24,13,3,0,0,0,0,0,8,10,18
40001,1988,6.769039819,11.18612279,16.86519185,21.94800415,26.29720065,30.38440653,32.61558661,33.21679865,26.02479045,19.82321344,17.38198547,11.65118585,-5.451965529,-2.967508153,1.697601121,6.267197673,10.88159357,15.06280009,18.90960083,19.7947937,14.29518433,4.046805892,1.981182861,-2.706411251,87.34251505,63.07641956,51.29659793,79.81209564,84.04374141,82.97617444,66.91861886,98.24279055,100.82942,81.41526651,134.520869,20.01729912,9.012798743,12.28722061,16.71767284,20.13709491,23.46156528,25.19802606,22.2651744,19.2993752,16.17461257,15.1768974,10.39061343,8.904195508,25,22,15,2,0,0,0,0,0,7,6,24
